"Origin","ETS_MAPE","ETS_RMSE","ETS_MAE","SNAIVE_MAPE","SNAIVE_RMSE","SNAIVE_MAE"
1,4.62901532513446,344.609150691311,305.219600336859,7.58887443418476,593.876390056607,506.833333333333
2,6.05310373775942,522.260088553631,407.094896653809,7.51218012283485,592.230740505759,501.916666666667
3,6.33897734995843,516.53679880334,423.300906618652,6.47455110111561,536.457671520627,436
4,5.90243545009398,481.217712329212,390.946779855866,5.86000729991795,492.287348337669,396
5,5.91167950212018,461.34744845684,393.022085045945,5.67512355302187,482.269115743482,386.333333333333
6,6.42751075420633,501.337973836283,430.050640706436,5.37579530490448,460.923167856278,369.666666666667
7,5.31858101584296,436.801494297627,346.01527004035,5.28755762070803,459.56691569346,363.75
8,7.59375289049003,599.112865663781,484.525286123021,6.13825446433672,515.854146052932,414.166666666667
9,10.3598804322572,758.128489017857,663.224629649136,6.51956509540078,528.40396478452,436.416666666667
10,9.75392783984787,701.984124952012,626.378941390904,6.4114208694595,526.369958615928,428.5
11,6.98752780981888,523.326940011909,445.594002711871,5.41266783740149,462.33789952083,358
12,3.8573263900265,316.685183275596,247.731851283067,5.18112203019488,454.311567099056,343.166666666667
13,6.31155781743007,484.604122117918,401.537220370168,4.22077035021747,361.030007986409,276.333333333333
14,5.95325804856776,455.870871192954,407.948143632935,5.46020011872938,505.44699689153,365.333333333333
15,6.31797179285814,470.928512587147,435.757133706461,6.27305708236739,552.708256376424,423.416666666667
16,3.29780466207801,251.982904847596,225.765050653445,5.96263377599713,544.860685557938,401.5
17,4.03397997495015,406.929340921993,254.455886073904,7.13043216142646,629.801092938609,462.75
18,5.21163357724603,491.595857260901,329.858315663416,7.04143977890749,623.764979780045,454.416666666667
19,4.80383171696533,436.799537361794,305.433564784284,6.96227901766616,623.439251250673,449
20,4.66802865379452,393.956037422395,305.218642921393,6.67749745144557,608.725307507417,437.333333333333
21,5.01748456625098,450.41675285815,329.96630500665,7.15255506276083,648.725866603144,475.583333333333
22,4.79668695972716,447.189662933357,310.613764665107,7.1610089783136,648.796000295933,476.083333333333
23,5.42058260728597,485.034532693141,359.945445642213,8.13211579528054,705.577777427833,554
24,5.66493004498679,495.157810329753,383.011990588815,8.72765983582926,732.906542473186,599.5
25,6.51208940577253,534.277070992602,431.181026278343,9.23717979762168,747.430320052199,630.083333333333
26,7.3368145046787,620.01584205024,478.382225653913,8.13568832638842,663.736393457523,555
27,8.09821877765269,647.571719344847,528.619139268232,7.86995595120822,641.866224380127,532.916666666667
28,6.89147486874142,560.97763988738,464.425366352804,7.93205287407977,642.510894849263,537.416666666667
29,10.4605812548077,874.254453503698,750.914982325388,7.68669385725565,649.345503821604,541.083333333333
30,8.06609627655352,726.61285853125,583.16785319617,7.44209799944043,641.79461927733,525.333333333333
31,6.11775119083549,559.76800529123,439.73049633424,7.56303871118929,642.52204890831,533.75
32,5.3325925343821,447.852527144001,374.584239064011,6.76644064772802,609.390542536831,478.666666666667
33,9.11035340074235,702.486943646999,613.041270285785,6.76848324742547,597.944883190193,470.416666666667
34,7.48215186022836,563.095308609635,506.14846589273,7.46887826899473,624.065768435774,514.75
35,10.7685360582423,807.32667231448,717.624107136498,7.66544303768555,629.814853746718,518.416666666667
36,12.6898531225554,911.213368903419,840.777526772219,8.16401593247443,661.501574702081,542.5
37,4.50492444504127,379.509029494536,300.89239970793,7.50389472306594,643.334477546478,501.416666666667
38,10.3523956404487,743.04339236449,679.590098102088,8.08304331620908,672.196089942015,536.25
39,4.66865027948714,397.28785609569,300.048253799151,7.98389418205783,666.161642045933,527.5
40,5.48069102148289,438.502186142425,354.454800358113,7.95361347779439,665.805214258144,525.25
41,7.91758093640164,601.918414454685,507.920390674235,7.49765238994073,604.289320883079,485.75
42,6.34861412398766,492.251973042056,407.179636795333,7.51360525602841,604.942008239908,487.5
43,5.37272847812637,414.315821867187,344.429331458536,7.85622407533116,613.586655113467,509.583333333333
44,9.17364918002882,651.377260912984,592.524328078283,8.23237007694878,623.173798657592,537.416666666667
45,7.71414075593741,565.984856205572,498.718785571825,7.49833541472868,584.823905120165,493
46,4.98009779610665,402.270401024897,337.038355598776,7.99953634273818,655.563116717223,541
47,6.11207773924267,548.375091020972,433.509278425206,8.20267208372684,715.524283305605,575
48,6.68186036285029,618.950857459605,484.311625998179,7.77096332669058,689.221057910063,553.666666666667
49,6.60828066556398,608.541336809835,479.987289900077,8.30928037615639,702.624188311219,589.75
50,6.37999790016626,572.703606971308,460.013993359713,7.88443522715981,680.628018817915,564.5
51,7.734747656996,698.469552872454,566.979679925049,8.16091446072731,698.460986741565,587.083333333333
52,6.56026569964723,609.18814606318,475.118952792074,8.89070937634858,722.068210074367,632.833333333333
53,10.8296065295938,854.045970703637,744.477771860297,9.58836236234023,753.585098047991,658.5
