"Model","RMSE","MAE","MAPE","MPE"
"ETS Auto",229.403535515622,173.542122989559,2.77477381659392,-2.10793182392791
"ETS(A,A,A)",314.605957046361,272.206066498437,4.30356034514341,-4.0329198757876
"Seasonal Naive",514.916093488379,445.916666666667,7.03455731592485,-6.00873134468017
