Importaciones
5124
5398
5921
4786
5617
5404
5141
4519
5387
5650
6038
5683
5637
5527
6260
5449
5891
5878
5231
5170
5455
5724
5752
5321
5634
5355
5767
6076
6399
6035
6057
4749
5901
6335
5822
6175
5700
6132
6779
5930
6684
6421
6210
4909
6787
6863
6635
6173
6146
6256
6617
6427
6762
7177
6342
5437
7345
7096
7372
7131
6451
6915
7112
7103
7019
7119
6584
6876
7059
6871
7408
7683
6319
6684
6675
5870
6592
5917
5617
5856
6023
6523
6468
5583
5942
6246
6687
6403
7022
6855
6218
5761
6381
6638
6648
5768
8976
9231
9501
9984
8802
7645
8186
6316
7185
7249
5980
6118
5476
7090
6396
6370
5762
6376
6212
5921
7500
7149
7096
7583
6870
7186
7262
7063
7045
6748
6353
5902
6344
6679
6440
7068
6189
6290
6752
5913
6368
5985
5675
5493
6335
6456
6157
5936
5737
6012
6838
5815
6147
5767
5547
5221
5588
5856
5311
4644
5313
5446
5296
5654
5948
5280
5864
5320
6036
6095
5971
5332
6094
5471
5908
5958
5864
6632
6816
6334
7420
7930
6879
5953
5866
6344
6716
6521
6568
6773
7058
6495
7237
7058
6542
6923
5697
6262
7044
6968
7072
6843
6211
6067
7149
7032
6701
6755
6934
7041
6979
5786
6668
6848
6918
6954
7055
7993
7406
6220
7270
6527
7098
7012
6883
6954
6964
6166
6429
6988
6412
6178
6516
6118
7006
6260
7119
6583
7344
6421
7631
8401
7150
6653
6967
6798
6365
5200
4963
5308
6036
5370
6614
6947
6751
6776
6172
6533
7118
6359
6736
6102
6265
6599
6775
6610
7266
7091
6862
6719
7462
6321
6892
6569
6248
5978
6321
6516
7335
6833
6262
6944
7621
6213
7123
7387
6806
6533
6935
7177
7118
6397
6798
6731
6637
6965
6547
6365
6619
5769
6571
6688
6443
5856
6446
6568
6951
6594
6656
